,wavelengths,intensities
0,247.76552,744.0
1,247.8419916626033,739.0
2,247.9184570784132,732.0
3,247.9949162474297,742.0
4,248.0713691696528,725.0
5,248.1478158450825,724.0
6,248.22425627371882,727.0
7,248.30069045556172,725.0
8,248.3771183906112,746.0
9,248.4535400788673,728.0
10,248.52995552033002,741.0
11,248.6063647149993,731.0
12,248.68276766287522,738.0
13,248.7591643639577,754.0
14,248.8355548182468,743.0
15,248.9119390257425,769.0
16,248.9883169864448,766.0
17,249.0646887003537,772.0
18,249.1410541674692,782.0
19,249.2174133877913,774.0
20,249.29376636132,781.0
21,249.37011308805532,783.0
22,249.44645356799722,779.0
23,249.5227878011457,796.0
24,249.5991157875008,804.0
25,249.6754375270625,839.0
26,249.7517530198308,833.0
27,249.82806226580573,822.0
28,249.9043652649872,834.0
29,249.9806620173753,837.0
30,250.05695252297002,840.0
31,250.1332367817713,871.0
32,250.20951479377922,871.0
33,250.2857865589937,850.0
34,250.3620520774148,872.0
35,250.43831134904252,887.0
36,250.51456437387682,886.0
37,250.59081115191773,888.0
38,250.6670516831652,881.0
39,250.7432859676193,856.0
40,250.81951400528,863.0
41,250.8957357961473,868.0
42,250.9719513402212,880.0
43,251.0481606375017,893.0
44,251.1243636879888,883.0
45,251.2005604916825,905.0
46,251.2767510485828,937.0
47,251.35293535868973,938.0
48,251.42911342200318,973.0
49,251.5052852385233,971.0
50,251.58145080825,915.0
51,251.6576101311833,918.0
52,251.73376320732322,918.0
53,251.8099100366697,900.0
54,251.8860506192228,883.0
55,251.96218495498252,872.0
56,252.03831304394882,866.0
57,252.11443488612173,890.0
58,252.1905504815012,916.0
59,252.2666598300873,915.0
60,252.34276293188,917.0
61,252.41885978687932,899.0
62,252.49495039508523,881.0
63,252.5710347564977,877.0
64,252.6471128711168,908.0
65,252.7231847389425,935.0
66,252.79925035997482,916.0
67,252.87530973421372,864.0
68,252.9513628616592,882.0
69,253.0274097423113,874.0
70,253.10345037617,855.0
71,253.1794847632353,868.0
72,253.25551290350722,881.0
73,253.3315347969857,877.0
74,253.4075504436708,869.0
75,253.48355984356252,873.0
76,253.55956299666082,870.0
77,253.63555990296572,887.0
78,253.71155056247719,892.0
79,253.7875349751953,882.0
80,253.86351314112,882.0
81,253.93948506025131,874.0
82,254.01545073258922,870.0
83,254.0914101581337,873.0
84,254.1673633368848,853.0
85,254.24331026884252,858.0
86,254.3192509540068,865.0
87,254.39518539237773,873.0
88,254.4711135839552,886.0
89,254.54703552873931,869.0
90,254.62295122673,861.0
91,254.6988606779273,874.0
92,254.77476388233123,877.0
93,254.8506608399417,886.0
94,254.9265515507588,860.0
95,255.00243601478252,851.0
96,255.07831423201281,841.0
97,255.15418620244972,845.0
98,255.2300519260932,847.0
99,255.3059114029433,858.0
100,255.38176463300002,854.0
101,255.4576116162633,872.0
102,255.5334523527332,864.0
103,255.6092868424097,853.0
104,255.6851150852928,826.0
105,255.7609370813825,837.0
106,255.83675283067882,841.0
107,255.9125623331817,861.0
108,255.9883655888912,876.0
109,256.06416259780735,878.0
110,256.13995335993,906.0
111,256.21573787525926,877.0
112,256.2915161437952,864.0
113,256.3672881655377,857.0
114,256.4430539404868,857.0
115,256.5188134686425,860.0
116,256.5945667500048,874.0
117,256.6703137845737,861.0
118,256.74605457234924,855.0
119,256.8217891133313,834.0
120,256.89751740752,860.0
121,256.9732394549153,875.0
122,257.04895525551717,857.0
123,257.1246648093257,860.0
124,257.2003681163408,854.0
125,257.2760651765625,881.0
126,257.3517559899908,849.0
127,257.4274405566257,874.0
128,257.5031188764672,883.0
129,257.57879094951534,853.0
130,257.65445677577003,862.0
131,257.7301163552313,860.0
132,257.8057696878992,861.0
133,257.8814167737737,857.0
134,257.9570576128548,856.0
135,258.0326922051425,856.0
136,258.1083205506368,866.0
137,258.1839426493377,856.0
138,258.25955850124524,835.0
139,258.33516810635933,879.0
140,258.41077146468,914.0
141,258.48636857620727,886.0
142,258.56195944094117,859.0
143,258.6375440588817,869.0
144,258.7131224300288,849.0
145,258.7886945543825,851.0
146,258.8642604319428,854.0
147,258.9398200627097,860.0
148,259.0153734466832,859.0
149,259.09092058386335,867.0
150,259.16646147425,867.0
151,259.2419961178433,875.0
152,259.3175245146432,861.0
153,259.3930466646497,862.0
154,259.4685625678628,861.0
155,259.5440722242825,879.0
156,259.6195756339088,914.0
157,259.6950727967417,957.0
158,259.7705637127812,1015.0
159,259.84604838202733,954.0
160,259.92152680448004,889.0
161,259.99699898013927,859.0
162,260.0724649090052,857.0
163,260.1479245910777,849.0
164,260.2233780263568,856.0
165,260.2988252148425,855.0
166,260.3742661565348,874.0
167,260.4497008514337,871.0
168,260.52512929953923,914.0
169,260.60055150085134,905.0
170,260.67596745537,890.0
171,260.7513771630953,879.0
172,260.8267806240272,867.0
173,260.9021778381657,880.0
174,260.9775688055108,905.0
175,261.0529535260625,927.0
176,261.12833199982083,889.0
177,261.2037042267857,885.0
178,261.2790702069572,883.0
179,261.3544299403353,857.0
180,261.42978342692004,869.0
181,261.5051306667113,868.0
182,261.5804716597092,883.0
183,261.6558064059137,869.0
184,261.7311349053248,860.0
185,261.80645715794253,873.0
186,261.8817731637668,854.0
187,261.9570829227977,865.0
188,262.0323864350352,855.0
189,262.10768370047936,873.0
190,262.18297471913,874.0
191,262.2582594909873,850.0
192,262.3335380160512,863.0
193,262.4088102943217,908.0
194,262.4840763257988,911.0
195,262.5593361104825,866.0
196,262.6345896483728,885.0
197,262.7098369394697,893.0
198,262.78507798377325,892.0
199,262.8603127812833,900.0
200,262.935541332,965.0
201,263.0107636359233,977.0
202,263.0859796930532,901.0
203,263.1611895033897,878.0
204,263.2363930669328,863.0
205,263.3115903836825,856.0
206,263.38678145363883,853.0
207,263.4619662768017,849.0
208,263.53714485317124,867.0
209,263.61231718274735,865.0
210,263.68748326553,863.0
211,263.7626431015193,868.0
212,263.8377966907152,845.0
213,263.9129440331177,857.0
214,263.9880851287268,864.0
215,264.06321997754253,849.0
216,264.1383485795648,855.0
217,264.21347093479375,849.0
218,264.2885870432292,838.0
219,264.36369690487135,866.0
220,264.43880051972,866.0
221,264.5138978877753,856.0
222,264.58898900903716,863.0
223,264.6640738835057,853.0
224,264.7391525111808,848.0
225,264.8142248920625,854.0
226,264.88929102615083,853.0
227,264.96435091344574,845.0
228,265.03940455394724,863.0
229,265.1144519476553,862.0
230,265.18949309457,848.0
231,265.26452799469126,870.0
232,265.3395566480192,831.0
233,265.4145790545537,868.0
234,265.4895952142948,859.0
235,265.5646051272425,861.0
236,265.6396087933968,862.0
237,265.7146062127577,864.0
238,265.78959738532524,861.0
239,265.86458231109935,863.0
240,265.93956099008005,874.0
241,266.0145334222673,852.0
242,266.0894996076612,861.0
243,266.1644595462617,862.0
244,266.2394132380688,870.0
245,266.3143606830825,880.0
246,266.3893018813028,868.0
247,266.46423683272974,863.0
248,266.5391655373632,873.0
249,266.6140879952033,868.0
250,266.68900420625005,855.0
251,266.7639141705033,857.0
252,266.8388178879632,868.0
253,266.9137153586297,860.0
254,266.9886065825028,838.0
255,267.06349155958253,880.0
256,267.1383702898688,844.0
257,267.21324277336174,829.0
258,267.28810901006125,848.0
259,267.36296899996734,852.0
260,267.43782274308006,850.0
261,267.5126702393993,859.0
262,267.5875114889252,861.0
263,267.6623464916577,862.0
264,267.7371752475968,852.0
265,267.8119977567425,852.0
266,267.8868140190948,856.0
267,267.9616240346537,855.0
268,268.0364278034192,884.0
269,268.11122532539133,866.0
270,268.18601660057004,856.0
271,268.2608016289553,861.0
272,268.3355804105472,872.0
273,268.4103529453457,862.0
274,268.4851192333508,861.0
275,268.5598792745625,848.0
276,268.6346330689808,851.0
277,268.7093806166057,830.0
278,268.78412191743723,878.0
279,268.85885697147535,874.0
280,268.93358577872004,844.0
281,269.00830833917126,860.0
282,269.0830246528292,873.0
283,269.1577347196937,872.0
284,269.2324385397648,864.0
285,269.30713611304253,880.0
286,269.38182743952683,850.0
287,269.4565125192177,845.0
288,269.53119135211523,851.0
289,269.60586393821933,866.0
290,269.68053027753,871.0
291,269.7551903700473,864.0
292,269.8298442157712,861.0
293,269.9044918147017,848.0
294,269.9791331668388,862.0
295,270.0537682721825,861.0
296,270.1283971307328,869.0
297,270.20301974248974,867.0
