name,nm
Fe II,253.680465
Fe II,253.684491
Fe II,253.698517
Fe II,253.710515
Fe II,253.713767
Fe I,253.717435
Fe I,253.745876
Fe II,253.820420
Fe II,253.820491
Fe II,253.839803
Fe II,253.850014
Fe II,253.858930
Fe II,253.867874
Fe II,253.873744
Fe II,253.879846
Fe II,253.890915
Fe II,253.899319
Fe II,253.932752
Fe I,253.935655
Fe II,253.940306
Fe II,253.953603
Fe II,253.980501
Fe II,253.990969
Fe II,254.019000
Fe II,254.05227
Fe II,254.066413
Fe I,254.066032
Fe II,254.067633
Fe I,254.097186
Fe II,254.110078
Fe II,254.140578
Fe II,254.183547
Fe I,254.210125
Fe II,254.230549
Fe II,254.240021
Fe II,254.273584
Fe II,254.305003
Fe II,254.307999
Fe II,254.337770
Fe II,254.343122
Fe II,254.369080
Fe II,254.378201
Fe I,254.392235
Fe II,254.446136
Fe I,254.465632
Fe II,254.497256
Fe II,254.509241
Fe II,254.521963
Fe II,254.532071
Fe II,254.544154
Fe II,254.552915
Fe II,254.574159
Fe I,254.597818
Fe II,254.644158
Fe II,254.666986
Fe II,254.679801
Fe II,254.733812
Fe II,254.832493
Fe II,254.858901
Fe II,254.874394
Fe II,254.892205
Fe II,254.892251
Fe II,254.89734
Fe II,254.908306
Fe II,254.939444
Fe II,254.946137
Fe II,254.950147
Fe I,254.961299
Fe II,254.965741
Fe II,254.977423
Fe II,254.987392
Fe II,255.002711
Fe II,255.015120
Fe II,255.057458
Fe II,255.068285
Fe II,255.120403
Fe II,255.12227
Fe I,255.283039
Fe II,255.374149
Fe II,255.494513
Fe II,255.506719
Fe II,255.545293
Fe II,255.558802
Fe I,255.630372
Fe II,255.667835
Fe II,255.708247
Fe II,255.750566
Fe II,255.882290
Fe II,255.923931
Fe II,255.977130
Fe II,255.992510
Fe II,256.000028
Fe II,256.028212
Fe II,256.055608
Fe I,256.055700
Fe II,256.071337
Fe II,256.097769
Fe II,256.158531
Fe I,256.185473
Fe II,256.209161
Fe II,256.214463
Fe II,256.253533
Fe II,256.262182
Fe II,256.319545
Fe I,256.339895
Fe II,256.347523
Fe II,256.360813
Fe II,256.384328
Fe II,256.447830
Fe I,256.455928
Fe II,256.530389
Fe II,256.598154
Fe II,256.621961
Fe II,256.640131
