,samsun\1,samsun\10,samsun\11,samsun\12,samsun\13,samsun\14,samsun\15,samsun\16,samsun\17,samsun\18,samsun\19,samsun\2,samsun\20,samsun\21,samsun\22,samsun\23,samsun\24,samsun\25,samsun\26,samsun\27,samsun\28,samsun\29,samsun\3,samsun\30,samsun\31,samsun\32,samsun\33,samsun\34,samsun\35,samsun\36,samsun\37,samsun\38,samsun\39,samsun\4,samsun\40,samsun\41,samsun\42,samsun\43,samsun\44,samsun\45,samsun\46,samsun\47,samsun\48,samsun\49,samsun\5,samsun\50,samsun\6,samsun\7,samsun\8,samsun\9
248.52995552033002,-4.869499215889666,-18.772395181505303,-16.252681156195443,-14.495874810516494,-9.270123306588042,-15.480751238661,-15.320081870228027,-12.541328356232102,-16.88030474740638,-17.54479835854091,-14.871038399237856,-9.935880318683216,-11.63425706998715,-11.765303243607397,-20.340811509479078,-18.7928364537253,-13.323066704443022,-6.954845339608389,-17.474620738325605,-15.082211510330973,-8.02188257960693,-19.205512286979424,-14.026773093023207,-20.209468053923736,-18.740858053415728,-14.456797271410304,-21.55574317114466,-15.488901260313876,-17.27288368591528,-10.771212956018594,-8.3784400681273,-19.648121856701493,-21.231772658904568,-13.304360086154654,-23.10340239996159,-22.020151752501437,-13.15108823863937,-11.696736363704344,-20.97881628074456,-10.56308241145105,-21.93646048759093,-21.166192678216664,-13.424423971039667,-13.567028587344362,-14.13601982170642,-11.387910184241452,-14.674084233670001,-14.98854114193522,-18.810859482323057,-23.81164928296039
248.6063647149993,-13.538796679895341,-10.171979633520618,-12.21861331308525,-7.683802097686803,-9.682823077126471,-13.623169632543608,-16.794319436712406,-8.92856327138258,-10.77425864791143,-18.783335035153552,-12.80704566604769,-10.968046223886756,-6.473662414530866,-15.480734263649214,-14.148822607663538,-11.775172745581191,-17.623116705384877,-9.79309653272624,-17.47460820013714,-9.577912264311884,-12.666275159413962,-13.013411991417518,-10.930759261436831,-8.650891114434113,-7.904887264006057,-7.576456971501663,-14.07369521808884,-11.016573143762209,-15.209063299335602,-15.724921636153857,-13.53892412130666,-7.263537740684595,-14.008084333410846,-8.969744926914,-8.397566741630127,-13.144782689513352,-17.967112923337655,-9.288633559339523,-14.786665854987017,-15.723257478705207,-12.906750620945822,-18.06991481954972,-10.84438641755712,-10.677235117086061,-16.715869084866785,-11.388122643762742,-10.958870238981552,-18.08411219206557,-7.252085776642836,-6.886953643452591
248.68276766287516,-11.47488668654713,-7.0750851059794195,-9.403645409803413,-1.0786720892343602,-8.857193086434023,-13.210554331585422,-0.723629312904469,-5.660811309377567,-10.258135325300756,-16.100190966523694,-5.789165510452415,-4.775862769371687,-1.0553479776661598,-7.4310150036842355,-7.130818337026421,-9.29826404127068,-14.699139517201493,-13.663315322307906,-9.046239320118133,-7.513965858912623,-11.290307800870222,-5.16980512768419,0.7665012051023824,-8.031283804741104,-9.71100790978307,-6.716283354376532,-14.073834067518863,-9.468444343108821,-7.158989645995655,-8.08775679777442,-0.53467537145789,-3.307304809524832,-9.46710095951036,3.415726634354462,-1.946931611659632,-9.016633365920338,-6.614587420538086,-10.664769236052193,-10.865140805644272,-10.390856034404544,-6.972278037297567,-5.685809984272517,-0.867872534732227,-8.613213768820122,-2.7831056603477045,-9.323920338540049,-10.33951443833364,-11.376344798554385,-4.5690964097056845,-14.523445917951696
248.75916436395767,-6.5203554999400355,4.793723729501708,-5.93237280182474,2.0176671460113353,-0.8068055651610457,-8.050395484003,-2.345446618431368,1.047951264656794,-2.345419666318046,-8.05032277679895,-3.5182583241677285,-1.4729995555379227,-6.473653511893986,-2.6828871371027736,1.5392254945680777,-1.0411164619237383,-11.258990822402206,-10.05104489135041,-7.842199282634009,-0.46108980320083476,-2.173486975454781,-4.5504181229068505,-5.942288791967532,-3.9028487014940154,-3.5182548905132225,-2.760043678593972,-1.946820132067245,-5.168189886183697,-7.778149270726532,-5.817244007798142,2.148839031330454,-6.231609979581695,-4.306347376846073,0.11274367839218265,-8.13925463505535,8.116691172389784,-3.1742340122653947,-3.0961559065525943,-3.227395724633259,-4.542639387883887,-5.295180856754108,-7.130604325140771,-5.339989969474566,-5.3102555771677356,-3.2994360910989435,6.416274000884377,-8.068983063774105,-2.6036184156633895,6.16490522555371,-4.822568561224243
248.8355548182468,-5.488871747480194,0.3207370517944185,-1.334657573573257,-6.032937890015024,-8.857168655387968,2.6836764199175684,0.30860999703379627,-4.284704666631812,1.1809613048971999,-2.6834299710843292,1.4358395835510382,-5.601200552138556,2.0414591910296798,3.0967965991211854,1.3325034831531468,-4.137699482930628,4.050619472668241,-5.664737857707283,-3.369842095813526,-3.2135638676844507,5.7396185078749715,0.19741396743191317,-3.361939882636752,4.766867634230768,-3.776289561532338,0.5084030304980854,8.891110372856476,2.4007870824036526,-4.68172822524385,-2.720807197058654,-3.4244771968770693,-2.791387664170527,-1.003830820178089,-7.937780844420365,-1.6886748817372124,1.098073116848814,-0.07800390743832193,2.408454245457895,-0.337546326927995,3.542580356878615,-1.0378737320010494,-3.6211556025097535,-1.2116409647433672,-0.9756284661699663,-2.095432945934894,-1.8411723051698323,2.664917515723641,1.782820947120719,-0.027795666199858717,-5.647826721752597
248.9119390257425,10.200127897674282,2.7289957483831393,0.3545444818787754,7.591233939947941,1.4647165841759744,6.399594858144807,2.372770054492699,8.44531110438441,6.428134383400838,3.0965866163760642,8.041850835732655,5.752246925228986,6.427912115875634,7.225381415700889,8.351364560892232,3.2938996620300336,2.5030324879024914,1.8180558395320177,8.671956092408648,4.18409617275975,2.8153207551403967,1.8486752027092397,1.7986769718173095,-4.728866479136041,9.641928914067082,8.937895873346546,8.891131639856436,3.4330494206421354,15.342460690483005,6.774929368447474,1.5294816081733698,5.294048244851928,8.698558756892528,2.1771296334224575,7.858896429093237,-3.649901215218592,7.3192975750414675,9.117782357728245,4.410202385514699,5.606608266110253,1.2845170776280317,9.79644855508938,2.5729108408869643,5.630577393865202,3.2374227930198494,-2.099141857572283,5.7614658584370755,9.782555065811263,1.8297439751853872,7.563138594629521
248.98831698644483,14.122701473704115,12.191041001683667,5.890227476769287,4.081784435961273,9.927989893479266,11.973857292999933,14.317069615888835,1.0478807733972464,8.836335070003537,10.734870686653526,8.661463544207312,9.055211441288936,6.4277669976124505,7.225408971372938,5.254756668403442,14.441741845793416,11.103902760573654,6.720933032296536,8.672060441901476,12.78547914773791,9.18073213224646,4.945123569965777,6.271353258787191,14.676128674570998,13.770543799566255,14.271056561863347,14.826321806468886,7.045688225120803,6.052345689556381,10.078044520871085,7.929144778090612,5.465933578275929,13.859790221020308,5.68631575103255,7.600740945355066,8.53023118098342,11.964553767217268,7.742234928865014,11.223238791583187,11.800003397571883,12.251632244334534,12.68690343482198,11.51944261400991,7.281690425618668,8.39833087380064,12.867332103192503,13.400082363979475,2.815296720054338,20.203713055755518,15.20198927414771
249.06468870035368,13.090482262077368,8.750493914599547,15.837700772423188,10.27505276701627,9.515215930906594,20.644669440983836,16.82381972182089,14.294649227167213,15.976049390098716,21.677449709163223,14.648547693793338,15.248718637707247,5.137656517053081,7.225579770767462,15.370648977690403,15.473792049550378,19.878432318469493,18.334184606441752,24.672565990703106,16.570396349555413,7.975937336541119,16.919138974824108,19.00273980181392,8.070034055265216,22.545449049272612,12.206671744189324,12.245715269550045,8.938089293414182,19.265135265997692,15.032808134919659,12.471265073317037,13.035630137642514,20.879588659531404,14.976580016838392,18.9555734205226,11.213741912781233,13.168645963024401,12.042476213806774,13.700305492478341,13.864419751578604,17.929104113139093,14.751247999743565,14.615328012183275,16.158870922825944,13.732203319354367,24.739049254238648,16.290288936270706,20.10512161137229,19.58442728740959,18.91858556030517
249.14105416746918,17.013005462788207,23.374720432026518,25.410113570989083,17.707793760587055,12.818920339061123,22.915775508694267,17.856340407912562,16.53112109814376,18.987006453400284,16.92857330572123,19.396826890213127,19.99728358870442,17.008300249680623,25.39396445095344,20.326010663526283,25.591023154744875,18.330290714452243,26.076300157542384,27.941645235807528,15.53807384104384,14.513998967736889,12.583873472862118,25.88464627414307,27.064592089513848,15.060899461037991,14.09940493567354,25.924020772177983,24.93880951865992,17.20068320756406,18.33607639214792,12.057953207530465,15.444238890674063,20.8797486367306,18.486396159684887,24.891452719261174,17.407426920458803,16.610130601517415,15.65560137281892,19.2747297488959,19.886170525220724,18.832398585771358,16.609363204140568,15.131293692083867,21.320534883160143,22.50634990278465,24.480741511653026,18.561812005617586,21.653576267366628,19.79079888057786,15.614783287999577
249.21741338779134,17.63223021353765,29.052287961254468,28.319214950275104,23.488292028776744,29.748312335420803,24.361074048175293,22.42777905149608,23.24129801680118,18.986974776746806,22.090189036338344,16.919353497814473,20.410116383852923,22.94443898340579,33.033341818950795,31.06249333407427,21.66778451476991,24.17973123065693,29.17372024721097,19.68302325954109,25.345118999907157,22.42806762116911,29.51393918200234,21.927524356048874,29.12894091638579,23.83557218928568,21.497228280979076,23.859181607236156,20.981573981454662,24.83975910336674,28.65956165741151,27.542690875716822,31.445553139203174,24.595778711992047,24.886726184166204,20.504133797348135,23.188235427349895,25.040193020661192,28.21530272257971,24.02335821728391,29.521624677566365,26.316714888538396,24.86789015805231,18.572435574843,26.069591017978524,22.506124983031075,32.22416407607401,24.342532332743477,25.783131002896827,22.475072889284263,21.189209704897017
