,wavelengths,intensities
0,247.76552,-10.32098239722721
1,247.8419916626033,0.0
2,247.9184570784132,-24.768913245900524
3,247.9949162474297,-21.673067871622276
4,248.0713691696528,-14.449132948028296
5,248.1478158450825,-24.768913245900524
6,248.22425627371882,-17.54515600747296
7,248.30069045556172,-38.18337928786294
8,248.3771183906112,-22.705024729977847
9,248.4535400788673,-15.48114916219545
10,248.52995552033002,-27.864683295517924
11,248.6063647149993,-16.5131568426829
12,248.68276766287522,-14.449132948028296
13,248.7591643639577,-9.288923247236609
14,248.8355548182468,7.225209977334127
15,248.9119390257425,15.48312788335756
16,248.9883169864448,12.38634129171981
17,249.0646887003537,4.128638272162642
18,249.1410541674692,14.450856664777621
19,249.2174133877913,25.80634003519805
20,249.29376636132,26.83871159201494
21,249.37011308805532,42.32539917438149
22,249.44645356799722,48.52066599527479
23,249.5227878011457,50.585830965391715
24,249.5991157875008,76.40365125856955
25,249.6754375270625,107.39319901820318
26,249.7517530198308,111.52582734944292
27,249.82806226580573,101.19456298588118
28,249.9043652649872,83.63373872009
29,249.9806620173753,115.65861991415207
30,250.05695252297002,111.52582734944292
31,250.1332367817713,113.59220306120896
32,250.20951479377922,119.79157736933576
33,250.2857865589937,113.59220306120896
34,250.3620520774148,124.95800704289267
35,250.43831134904252,100.16149259688115
36,250.51456437387682,165.26516561958823
37,250.59081115191773,200.4180311394551
38,250.6670516831652,163.1977389425724
39,250.7432859676193,151.82765658038875
40,250.81951400528,129.09133782852726
41,250.8957357961473,133.22483553972745
42,250.9719513402212,131.15806578087032
43,251.0481606375017,168.36638611937167
44,251.1243636879888,152.8612471369392
45,251.2005604916825,150.79407665053373
46,251.2767510485828,188.00970414177175
47,251.35293535868973,221.1020856396978
48,251.42911342200318,239.72151473073467
49,251.5052852385233,297.6717767739859
50,251.58145080825,246.96337673618078
51,251.6576101311833,189.0436713991383
52,251.73376320732322,168.36638611937167
53,251.8099100366697,211.7937161605434
54,251.8860506192228,166.29889504747393
55,251.96218495498252,147.69340053856249
56,252.03831304394882,132.19144542983838
57,252.11443488612173,145.62633611170824
58,252.1905504815012,182.84003094080165
59,252.2666598300873,200.4180311394551
60,252.34276293188,214.89640668834062
61,252.41885978687932,216.96492217314452
62,252.49495039508523,202.4862387103495
63,252.5710347564977,158.0293596043864
64,252.6471128711168,176.6367810260534
65,252.7231847389425,231.4457689607695
66,252.79925035997482,233.51463870956104
67,252.87530973421372,178.70448769259716
68,252.9513628616592,165.26516561958823
69,253.0274097423113,119.79157736933576
70,253.10345037617,123.92470035744103
71,253.1794847632353,145.62633611170824
72,253.25551290350722,152.8612471369392
73,253.3315347969857,159.06301409090722
74,253.4075504436708,152.8612471369392
75,253.48355984356252,144.59281976727138
76,253.55956299666082,179.7383572551033
77,253.63555990296572,139.42539639098342
78,253.71155056247719,171.46770337804128
79,253.7875349751953,207.6569496146142
80,253.86351314112,152.8612471369392
81,253.93948506025131,150.79407665053373
82,254.01545073258922,156.99571579280328
83,254.0914101581337,146.65986303263725
84,254.1673633368848,128.0579895064276
85,254.24331026884252,141.49233410704997
