Spectrum  ,      Observed Wavelength Air (nm)     ,        Ritz  Wavelength Air (nm)   
Fe II     ,         268.2039   ,         268.20418  
Fe II     ,         268.25100  ,         268.251002 
Fe II     ,         268.29957  ,         268.29965  
Fe II     ,         268.30330  ,         268.303172 
Fe II     ,         268.3083   ,         268.30821  
          ,                    ,                    
Fe II     ,         268.37087  ,         268.370909 
Fe II     ,         268.37744  ,         268.377444 
Fe II     ,         268.4305   ,         268.430499 
Fe II     ,         268.44279  ,         268.442861 
Fe II     ,         268.475325 ,         268.475331 
          ,                    ,                    
Fe II     ,         268.5535   ,         268.553236 
Fe II     ,         268.5828   ,         268.583057 
Fe II     ,         268.59637  ,         268.596343 
Fe II     ,         268.621698 ,         268.621706 
Fe II     ,         268.63876  ,         268.638715 
          ,                    ,                    
Fe II     ,         268.64858  ,         268.64866  
Fe II     ,         268.69510  ,         268.695042 
Fe II     ,         268.76506  ,         268.765095 
Fe II     ,         268.7994   ,         268.799076 
Fe II     ,         268.81896  ,         268.818954 
          ,                    ,                    
Fe I      ,         268.92121  ,         268.921246 
Fe I      ,         268.98287  ,         268.982861 
Fe I      ,                    ,         269.004619 
Fe II     ,         269.0219   ,         269.021928 
Fe II     ,         269.17363  ,         269.173623 
          ,                    ,                    
Fe II     ,         269.2141   ,         269.213791 
Fe II     ,         269.25175  ,         269.251758 
Fe II     ,         269.260157 ,         269.260157 
Fe II     ,         269.28337  ,         269.283364 
Fe II     ,         269.30046  ,         269.300509 
          ,                    ,                    
Fe II     ,         269.34029  ,         269.340235 
Fe II     ,         269.3482   ,         269.348399 
Fe II     ,         269.38559  ,         269.385659 
Fe II     ,         269.40467  ,         269.404699 
Fe II     ,         269.41835  ,         269.418379 
          ,                    ,                    
Fe II     ,         269.424901 ,         269.424907 
Fe II     ,         269.50612  ,         269.506115 
Fe II     ,         269.61230  ,         269.612305 
Fe II     ,         269.65919  ,         269.659208 
Fe I      ,         269.70208  ,         269.702081 
          ,                    ,                    
Fe II     ,         269.73302  ,         269.732995 
Fe II     ,         269.74609  ,         269.746068 
Fe II     ,                    ,         269.773048 
Fe II     ,         269.779783 ,         269.779766 
Fe II     ,         269.82853  ,         269.828519 
          ,                    ,                    
Fe II     ,         269.8949   ,         269.89465  
Fe I      ,         269.91065  ,         269.910641 
Fe II     ,         269.9185   ,         269.92033  
Fe II     ,         269.9380   ,         269.937586 
Fe II     ,         269.96228  ,         269.962263 
          ,                    ,                    
Fe II     ,         269.9971   ,         269.997123 
Fe II     ,         270.035587 ,         270.035603 
Fe II     ,         270.154196 ,         270.154206 
Fe I      ,         270.19103  ,         270.190919 
Fe II     ,         270.24062  ,         270.240566 
          ,                    ,                    
Fe I      ,         270.24500  ,         270.244950 
Fe II     ,         270.3013   ,         270.301538 
Fe II     ,         270.398879 ,         270.398885 
Fe II     ,         270.45771  ,         270.457673 
Fe II     ,         270.47557  ,         270.475601 
          ,                    ,                    
Fe II     ,         270.48654  ,         270.486542 
Fe II     ,         270.5085   ,         270.509284 
Fe I      ,         270.60124  ,         270.601226 
Fe II     ,         270.60785  ,         270.608046 
Fe I      ,         270.65817  ,         270.658205 
          ,                    ,                    
Fe II     ,         270.68192  ,         270.681914 
Fe II     ,         270.69139  ,         270.691406 
Fe II     ,         270.713271 ,         270.713280 
Fe II     ,         270.7578   ,         270.757868 
Fe II     ,         270.79995  ,         270.799969 
          ,                    ,                    
Fe II     ,         270.84168  ,         270.841702 
Fe I      ,         270.85707  ,         270.857054 
Fe II     ,         270.87223  ,         270.872445 
Fe II     ,         270.905573 ,         270.905556 
Fe II     ,         270.96914  ,         270.969122 
          ,                    ,                    
Fe II     ,         270.99250  ,         270.992783 
Fe II     ,         271.00370  ,         271.003685 
Fe I      ,         271.05435  ,         271.054351 
Fe II     ,         271.0762   ,         271.076622 
Fe II     ,         271.09376  ,         271.093927 
          ,                    ,                    
Fe I      ,         271.16550  ,         271.165486 
Fe II     ,         271.184122 ,         271.184122 
Fe II     ,         271.229607 ,         271.229613 
Fe II     ,         271.23904  ,         271.239033 
Fe II     ,         271.3148   ,         271.314969 
          ,                    ,                    
Fe II     ,         271.36394  ,         271.363940 
Fe II     ,         271.441261 ,         271.441263 
Fe II     ,         271.56847  ,         271.568453 
Fe II     ,         271.621707 ,         271.621710 
Fe I      ,         271.62573  ,         271.625767 
          ,                    ,                    
Fe I      ,         271.64185  ,         271.641821 
Fe II     ,         271.6434   ,         271.643998 
Fe II     ,         271.656443 ,         271.656437 
Fe II     ,         271.6963   ,         271.696595 
Fe II     ,         271.7557   ,         271.75572  
          ,                    ,                    
Fe I      ,         271.77864  ,         271.778632 
Fe II     ,         271.787370 ,         271.787366 
Fe II     ,         271.79288  ,         271.792879 
Fe II     ,         271.79694  ,         271.797109 
Fe I      ,         271.84361  ,         271.843604 
          ,                    ,                    
Fe II     ,         271.86410  ,         271.86410  
Fe II     ,         271.8829   ,         271.883285 
Fe II     ,         271.900215 ,         271.900257 
Fe I      ,         271.90272  ,         271.902720 
Fe I      ,                    ,         271.906026 
          ,                    ,                    
Fe II     ,         271.91978  ,         271.919672 
Fe II     ,         271.93013  ,         271.930183 
Fe I      ,         271.94202  ,         271.941996 
Fe II     ,         272.0452   ,         272.045539 
Fe II     ,         272.07781  ,         272.077785 
          ,                    ,                    
Fe I      ,         272.09021  ,         272.090204 
Fe II     ,         272.18135  ,         272.181300 
Fe II     ,         272.20625  ,         272.206232 
Fe II     ,         272.27408  ,         272.27403  
Fe II     ,         272.34177  ,         272.341711 
          ,                    ,                    
Fe I      ,         272.35773  ,         272.357709 
Fe II     ,         272.4598   ,         272.46056  
Fe II     ,         272.46955  ,         272.469544 
Fe II     ,         272.488385 ,         272.488383 
Fe I      ,         272.49531  ,         272.495309 
          ,                    ,                    
Fe II     ,         272.5108   ,         272.50989  
Fe II     ,         272.56429  ,         272.564511 
Fe I      ,         272.58058  ,         272.580654 
Fe I      ,         272.60551  ,         272.605496 
Fe II     ,         272.62656  ,         272.62654  
          ,                    ,                    
Fe II     ,         272.65173  ,         272.651857 
Fe II     ,         272.68193  ,         272.681931 
Fe II     ,         272.738314 ,         272.738311 
Fe II     ,         272.753885 ,         272.753883 
Fe II     ,         272.7717   ,         272.771546 
          ,                    ,                    
Fe II     ,         272.79324  ,         272.793479 
Fe I      ,         272.80208  ,         272.802081 
Fe II     ,         272.87426  ,         272.874343 
Fe I      ,         272.88200  ,         272.881978 
Fe II     ,         272.89050  ,         272.890525 
          ,                    ,                    
Fe II     ,         272.93287  ,         272.932887 
Fe II     ,         272.9580   ,         272.95820  
Fe II     ,         272.98720  ,         272.987118 
Fe II     ,         273.06992  ,         273.069936 
Fe II     ,         273.073399 ,         273.073388 
          ,                    ,                    
Fe I      ,         273.09818  ,         273.098172 
Fe II     ,         273.12436  ,         273.124332 
Fe I      ,         273.12812  ,         273.128153 
Fe II     ,         273.14790  ,         273.14774  
Fe II     ,         273.20082  ,         273.200828 
          ,                    ,                    
Fe II     ,         273.29395  ,         273.29409  
Fe II     ,         273.35066  ,         273.350755 
Fe I      ,         273.35803  ,         273.358020 
Fe I      ,         273.40053  ,         273.400538 
Fe II     ,         273.44557  ,         273.445679 
          ,                    ,                    
Fe II     ,         273.48103  ,         273.48111  
Fe II     ,         273.50884  ,         273.508853 
Fe II     ,         273.54203  ,         273.541866 
Fe I      ,         273.54751  ,         273.547518 
Fe II     ,         273.63975  ,         273.639754 
          ,                    ,                    
Fe II     ,         273.64868  ,         273.648644 
Fe II     ,         273.696576 ,         273.696590 
Fe I      ,         273.73090  ,         273.730891 
Fe I      ,         273.76407  ,         273.763973 
Fe II     ,         273.86635  ,         273.866207 
          ,                    ,                    
Fe II     ,         273.89128  ,         273.891171 
Fe II     ,         273.89287  ,         273.892785 
Fe II     ,         273.90449  ,         273.90448  
Fe II     ,         273.91046  ,         273.91069  
Fe II     ,         273.94192  ,         273.94188  
          ,                    ,                    
Fe II     ,         273.95110  ,         273.951076 
Fe II     ,         273.954721 ,         273.954713 
Fe II     ,         273.9981   ,         273.998246 
Fe II     ,         274.0281   ,         274.027682 
Fe II     ,         274.08796  ,         274.087931 
          ,                    ,                    
Fe II     ,         274.1317   ,         274.13205  
Fe II     ,         274.13939  ,         274.139391 
Fe II     ,         274.16842  ,         274.168546 
Fe I      ,         274.22540  ,         274.225398 
Fe I      ,         274.24052  ,         274.240512 
          ,                    ,                    
Fe II     ,         274.24746  ,         274.247238 
Fe II     ,         274.26592  ,         274.265936 
Fe II     ,         274.27246  ,         274.27247  
Fe II     ,         274.28471  ,         274.284756 
Fe II     ,         274.319657 ,         274.319665 
          ,                    ,                    
Fe II     ,         274.32188  ,         274.322148 
Fe I      ,         274.35652  ,         274.356519 
Fe I      ,         274.40673  ,         274.406714 
Fe II     ,         274.4193   ,         274.41929  
Fe I      ,         274.45273  ,         274.452716 
          ,                    ,                    
Fe II     ,         274.46505  ,         274.46507  
Fe II     ,         274.48940  ,         274.489547 
Fe II     ,         274.4941   ,         274.494165 
Fe II     ,         274.52804  ,         274.528094 
Fe II     ,         274.53652  ,         274.536539 
          ,                    ,                    
Fe II     ,         274.5499   ,         274.550080 
Fe II     ,         274.58720  ,         274.586996 
Fe II     ,         274.61250  ,         274.612515 
Fe II     ,         274.6249   ,         274.62470  
Fe II     ,         274.63561  ,         274.63582  
          ,                    ,                    
Fe II     ,         274.648346 ,         274.648342 
Fe II     ,         274.65180  ,         274.651725 
Fe II     ,         274.698162 ,         274.698160 
Fe I      ,                    ,         274.700224 
Fe II     ,         274.712158 ,         274.712147 
          ,                    ,                    
Fe II     ,         274.74238  ,         274.742405 
Fe II     ,         274.7960   ,         274.79521  
Fe II     ,         274.80568  ,         274.805689 
Fe II     ,         274.82011  ,         274.820134 
Fe II     ,         274.8949   ,         274.894142 
          ,                    ,                    
Fe II     ,         274.918070 ,         274.918070 
Fe II     ,         274.932126 ,         274.932122 
Fe II     ,         274.935257 ,         274.935226 
Fe II     ,         274.94343  ,         274.943415 
Fe II     ,         274.948576 ,         274.948575 
          ,                    ,                    
Fe II     ,         275.00059  ,         275.000672 
Fe I      ,         275.01404  ,         275.014032 
Fe II     ,         275.09152  ,         275.091477 
Fe II     ,         275.112510 ,         275.112505 
Fe II     ,         275.1383   ,         275.13849  
          ,                    ,                    
Fe II     ,         275.1444   ,         275.14392  
Fe II     ,         275.2105   ,         275.210493 
Fe II     ,         275.215040 ,         275.214909 
Fe II     ,         275.3032   ,         275.30311  
Fe II     ,         275.328738 ,         275.328741 
          ,                    ,                    
Fe I      ,         275.36867  ,         275.368672 
Fe II     ,         275.37594  ,         275.37593  
Fe I      ,         275.40319  ,         275.403198 
Fe I      ,         275.44271  ,         275.442688 
Fe II     ,         275.488844 ,         275.488844 
          ,                    ,                    
Fe II     ,         275.50721  ,         275.507169 
Fe I      ,         275.51817  ,         275.518110 
Fe II     ,         275.5246   ,         275.52525  
Fe II     ,         275.573620 ,         275.573622 
Fe II     ,         275.61626  ,         275.616103 
          ,                    ,                    
Fe I      ,         275.63280  ,         275.632792 
Fe II     ,         275.65108  ,         275.651041 
Fe II     ,         275.70302  ,         275.702981 
Fe I      ,         275.73153  ,         275.731536 
Fe II     ,         275.8085   ,         275.807490 
          ,                    ,                    
Fe II     ,         275.82968  ,         275.829788 
Fe II     ,         275.8567   ,         275.856763 
Fe II     ,         275.87493  ,         275.87489  
Fe II     ,         275.8873   ,         275.887490 
Fe II     ,         275.94786  ,         275.947913 
          ,                    ,                    
Fe I      ,         275.98136  ,         275.981357 
Fe I      ,         276.06127  ,         276.061603 
Fe II     ,         276.07158  ,         276.071575 
Fe II     ,         276.11823  ,         276.118243 
Fe II     ,         276.14490  ,         276.144902 
          ,                    ,                    
Fe I      ,         276.17796  ,         276.177959 
Fe II     ,         276.181270 ,         276.181279 
Fe I      ,         276.20264  ,         276.202644 
Fe II     ,         276.22661  ,         276.226838 
Fe II     ,         276.23326  ,         276.233253 
          ,                    ,                    
Fe II     ,         276.24474  ,         276.244662 
Fe II     ,         276.2544   ,         276.254197 
Fe I      ,         276.31094  ,         276.310954 
Fe II     ,         276.3556   ,         276.354953 
Fe II     ,         276.36557  ,         276.365565 
          ,                    ,                    
Fe II     ,         276.39135  ,         276.391263 
Fe II     ,         276.39848  ,         276.398591 
Fe II     ,         276.41555  ,         276.415405 
Fe II     ,         276.4790   ,         276.479120 
Fe II     ,         276.512785 ,         276.512791 
          ,                    ,                    
Fe II     ,         276.52228  ,         276.522092 
Fe II     ,         276.5421   ,         276.541598 
Fe II     ,         276.5504   ,         276.549721 
Fe II     ,         276.59911  ,         276.59919  
Fe II     ,         276.63724  ,         276.63732  
          ,                    ,                    
Fe II     ,         276.64479  ,         276.644639 
Fe I      ,         276.69089  ,         276.690911 
Fe II     ,         276.74151  ,         276.741602 
Fe II     ,                    ,         276.750231 
Fe II     ,         276.751209 ,         276.751188 
          ,                    ,                    
Fe I      ,         276.7522   ,         276.752184 
Fe II     ,         276.82122  ,         276.821189 
Fe II     ,         276.83326  ,         276.833339 
Fe II     ,         276.87862  ,         276.878594 
Fe II     ,         276.89343  ,         276.893431 
          ,                    ,                    
Fe II     ,         276.91524  ,         276.915233 
Fe I      ,         276.92980  ,         276.929800 
Fe II     ,         276.93324  ,         276.933321 
Fe II     ,         276.93556  ,         276.935579 
Fe II     ,         276.98091  ,         276.980888 
          ,                    ,                    
Fe II     ,         276.98336  ,         276.983366 
Fe II     ,         277.0297   ,         277.029545 
Fe II     ,         277.05052  ,         277.050554 
Fe II     ,         277.11846  ,         277.118476 
Fe II     ,         277.15514  ,         277.155393 
          ,                    ,                    
Fe I      ,         277.20738  ,         277.207371 
Fe I      ,         277.21100  ,         277.210984 
Fe II     ,         277.2122   ,         277.21161  
Fe II     ,         277.22985  ,         277.229880 
Fe II     ,         277.36604  ,         277.36603  
          ,                    ,                    
Fe II     ,         277.46858  ,         277.468583 
Fe I      ,         277.47297  ,         277.472944 
Fe II     ,         277.51870  ,         277.518877 
Fe II     ,         277.5289   ,         277.52868  
Fe II     ,         277.5926   ,         277.593267 
          ,                    ,                    
Fe II     ,         277.61780  ,         277.617798 
Fe II     ,         277.68236  ,         277.682452 
Fe II     ,         277.69078  ,         277.690787 
Fe II     ,         277.78883  ,         277.788838 
Fe I      ,         277.82201  ,         277.822004 
          ,                    ,                    
Fe II     ,         277.82933  ,         277.829247 
Fe II     ,         277.8546   ,         277.854723 
Fe II     ,         277.92998  ,         277.929919 
Fe II     ,         277.97816  ,         277.978067 
Fe II     ,         277.99066  ,         277.99052  
          ,                    ,                    
Fe II     ,         278.00438  ,         278.00441  
Fe I      ,         278.06971  ,         278.069735 
Fe I      ,         278.18354  ,         278.183563 
Fe II     ,         278.3400   ,         278.34030  
Fe II     ,         278.36904  ,         278.369059 
          ,                    ,                    
Fe II     ,         278.3966   ,         278.396653 
Fe II     ,         278.42756  ,         278.427651 
Fe I      ,         278.43419  ,         278.434041 
Fe II     ,         278.44709  ,         278.447159 
Fe II     ,         278.48220  ,         278.482256 
          ,                    ,                    
Fe II     ,         278.51920  ,         278.519187 
Fe II     ,         278.7219   ,         278.722695 
Fe II     ,         278.72405  ,         278.724066 
Fe I      ,         278.79312  ,         278.793144 
Fe I      ,         278.81047  ,         278.810461 
          ,                    ,                    
Fe I      ,         278.98014  ,         278.980132 
Fe II     ,         279.00452  ,         279.004449 
Fe II     ,         279.0183   ,         279.01858  
Fe II     ,         279.0558   ,         279.055749 
Fe I      ,         279.23987  ,         279.239871 
          ,                    ,                    
Fe II     ,         279.2964   ,         279.296410 
Fe II     ,         279.32418  ,         279.32429  
Fe II     ,         279.33680  ,         279.336790 
Fe II     ,         279.37871  ,         279.378689 
Fe II     ,         279.37871  ,         279.378705 
          ,                    ,                    
Fe II     ,         279.38872  ,         279.388699 
Fe II     ,         279.39288  ,         279.392861 
Fe I      ,         279.47019  ,         279.470189 
Fe I      ,         279.55398  ,         279.553986 
Fe II     ,         279.66285  ,         279.662781 
          ,                    ,                    
Fe II     ,         279.71959  ,         279.719594 
Fe II     ,         279.7427   ,         279.742364 
Fe I      ,         279.77751  ,         279.777518 
Fe II     ,         279.79166  ,         279.791629 
Fe II     ,         279.90044  ,         279.900452 
          ,                    ,                    
Fe II     ,         279.91457  ,         279.914669 
Fe II     ,         279.92921  ,         279.929445 
Fe II     ,         279.9374   ,         279.936829 
Fe II     ,         279.9969   ,         279.997682 
Fe II     ,         280.05357  ,         280.053681 
          ,                    ,                    
Fe II     ,         280.14833  ,         280.148167 
Fe II     ,         280.34286  ,         280.343055 
Fe I      ,         280.36132  ,         280.361272 
Fe II     ,         280.3799   ,         280.379374 
Fe II     ,         280.40221  ,         280.402003 
          ,                    ,                    
Fe I      ,         280.45201  ,         280.452009 
Fe I      ,         280.48615  ,         280.486239 
Fe II     ,         280.49965  ,         280.499910 
Fe II     ,         280.5121   ,         280.51196  
Fe II     ,         280.5317   ,         280.531864 
          ,                    ,                    
Fe II     ,         280.57887  ,         280.578697 
Fe I      ,         280.69840  ,         280.698400 
Fe II     ,         280.7175   ,         280.717175 
Fe II     ,         280.7523   ,         280.751984 
Fe II     ,         280.7599   ,         280.75968  
          ,                    ,                    
Fe II     ,         280.9435   ,         280.944278 
Fe II     ,         280.9782   ,         280.978237 
Fe II     ,         281.12705  ,         281.126868 
Fe I      ,         281.20401  ,         281.20417  
Fe II     ,         281.24956  ,         281.249332 
          ,                    ,                    
Fe II     ,         281.3081   ,         281.308488 
Fe I      ,         281.32863  ,         281.328628 
Fe II     ,         281.36170  ,         281.361632 
Fe II     ,         281.4227   ,         281.422495 
Fe II     ,         281.4779   ,         281.476879 
          ,                    ,                    
Fe I      ,         281.55064  ,         281.550654 
Fe II     ,         281.6480   ,         281.646987 
Fe II     ,         281.6627   ,         281.661509 
Fe II     ,         281.70868  ,         281.708677 
Fe I      ,         281.75036  ,         281.750365 
          ,                    ,                    
Fe II     ,         281.8255   ,         281.825357 
Fe II     ,         281.9187   ,         281.917798 
Fe II     ,                    ,         281.934307 
Fe II     ,         281.9911   ,         281.990636 
Fe II     ,         282.06898  ,         282.068995 
          ,                    ,                    
Fe II     ,         282.2060   ,         282.205821 
Fe I      ,         282.32755  ,         282.327574 
Fe II     ,         282.33279  ,         282.332807 
Fe II     ,         282.3874   ,         282.386798 
Fe II     ,         282.4146   ,         282.413563 
          ,                    ,                    
Fe II     ,         282.4577   ,         282.456868 
Fe I      ,         282.55555  ,         282.555564 
Fe II     ,         282.5745   ,         282.574791 
Fe II     ,         282.60258  ,         282.602703 
Fe II     ,         282.7427   ,         282.742796 
          ,                    ,                    
Fe II     ,         282.86286  ,         282.862643 
Fe II     ,         282.86799  ,         282.867744 
Fe I      ,         282.88080  ,         282.880813 
Fe II     ,         283.156080 ,         283.156086 
Fe II     ,         283.18795  ,         283.187819 
          ,                    ,                    
Fe I      ,         283.24353  ,         283.243532 
Fe II     ,         283.30852  ,         283.308469 
Fe II     ,         283.3190   ,         283.319143 
Fe I      ,         283.47524  ,         283.475311 
Fe II     ,         283.5007   ,         283.500378 
          ,                    ,                    
Fe II     ,         283.5101   ,         283.510123 
Fe II     ,         283.57112  ,         283.571128 
Fe II     ,         283.5905   ,         283.589867 
Fe I      ,         283.59505  ,         283.595008 
Fe II     ,         283.6185   ,         283.618988 
          ,                    ,                    
Fe II     ,         283.65133  ,         283.651160 
Fe II     ,         283.72983  ,         283.729801 
Fe I      ,         283.81193  ,         283.811948 
Fe II     ,         283.82151  ,         283.821563 
Fe II     ,         283.951279 ,         283.951284 
          ,                    ,                    
Fe II     ,         283.97994  ,         283.979925 
Fe II     ,         284.0023   ,         284.002173 
Fe II     ,         284.03433  ,         284.034380 
Fe II     ,         284.064951 ,         284.064950 
Fe II     ,         284.07580  ,         284.075842 
          ,                    ,                    
Fe I      ,         284.09372  ,         284.093707 
Fe II     ,         284.2075   ,         284.207794 
Fe II     ,         284.3317   ,         284.331628 
Fe II     ,         284.3485   ,         284.347871 
Fe I      ,         284.36306  ,         284.363058 
          ,                    ,                    
Fe II     ,         284.37813  ,         284.377854 
Fe II     ,         284.39214  ,         284.392303 
Fe I      ,         284.39762  ,         284.397643 
Fe II     ,         284.49578  ,         284.495678 
Fe II     ,         284.53811  ,         284.538259 
          ,                    ,                    
Fe II     ,         284.54247  ,         284.542453 
Fe II     ,         284.5485   ,         284.54877  
Fe II     ,         284.559447 ,         284.559529 
Fe I      ,         284.55945  ,         284.559425 
Fe II     ,         284.6934   ,         284.693481 
          ,                    ,                    
Fe II     ,         284.77733  ,         284.777326 
Fe II     ,         284.78833  ,         284.788350 
Fe II     ,         284.80517  ,         284.805096 
Fe II     ,         284.80683  ,         284.806833 
Fe II     ,         284.81061  ,         284.810597 
          ,                    ,                    
Fe II     ,         284.83197  ,         284.831972 
Fe I      ,         284.87145  ,         284.871461 
Fe II     ,         284.89046  ,         284.890426 
Fe II     ,         284.91697  ,         284.917230 
Fe II     ,         284.95628  ,         284.956482 
          ,                    ,                    
Fe II     ,         284.96050  ,         284.960454 
Fe II     ,         285.0710   ,         285.071157 
Fe II     ,         285.1405   ,         285.140819 
Fe II     ,         285.17212  ,         285.172165 
Fe I      ,         285.17967  ,         285.179684 
          ,                    ,                    
Fe II     ,         285.26214  ,         285.26217  
Fe II     ,         285.2866   ,         285.286420 
Fe II     ,         285.3210   ,         285.320637 
Fe I      ,         285.37715  ,         285.37716  
Fe II     ,         285.4113   ,         285.41109  
          ,                    ,                    
Fe II     ,         285.4434   ,         285.44368  
Fe II     ,         285.5412   ,         285.541204 
Fe II     ,         285.56673  ,         285.566745 
Fe II     ,         285.56914  ,         285.568965 
Fe II     ,         285.61471  ,         285.614776 
          ,                    ,                    
Fe II     ,         285.63767  ,         285.637705 
Fe II     ,         285.6737   ,         285.673575 
Fe II     ,         285.690880 ,         285.690860 
Fe II     ,         285.71722  ,         285.717436 
Fe II     ,         285.7419   ,         285.742053 
          ,                    ,                    
Fe II     ,         285.834007 ,         285.834051 
Fe II     ,         285.8525   ,         285.85242  
Fe II     ,         285.86290  ,         285.862882 
Fe II     ,         285.8807   ,         285.880234 
Fe II     ,         286.1562   ,         286.155672 
          ,                    ,                    
Fe I      ,         286.24945  ,         286.249452 
Fe II     ,         286.2953   ,         286.295065 
Fe II     ,         286.3100   ,         286.310817 
Fe I      ,         286.34298  ,         286.342974 
Fe II     ,         286.41224  ,         286.412258 
          ,                    ,                    
Fe II     ,         286.4326   ,         286.432264 
Fe II     ,         286.4741   ,         286.473905 
Fe II     ,         286.4970   ,         286.497139 
Fe II     ,         286.54564  ,         286.545894 
Fe II     ,         286.61999  ,         286.62008  
          ,                    ,                    
Fe II     ,         286.65395  ,         286.653872 
Fe I      ,         286.66247  ,         286.662471 
Fe I      ,         286.73092  ,         286.730930 
Fe I      ,         286.75615  ,         286.756164 
Fe II     ,         286.77433  ,         286.77441  
          ,                    ,                    
Fe II     ,         286.8049   ,         286.805708 
Fe II     ,         286.83567  ,         286.835457 
Fe I      ,         286.84539  ,         286.845391 
Fe II     ,         286.9152   ,         286.915760 
Fe II     ,         286.9313   ,         286.931212 
          ,                    ,                    
Fe II     ,         286.9701   ,         286.969890 
Fe II     ,         287.00862  ,         287.008669 
Fe II     ,         287.0725   ,         287.072297 
Fe II     ,         287.0753   ,         287.075463 
Fe II     ,         287.10597  ,         287.106018 
          ,                    ,                    
Fe II     ,         287.1131   ,         287.113077 
Fe II     ,         287.12735  ,         287.127286 
Fe II     ,         287.2260   ,         287.225615 
Fe I      ,         287.23337  ,         287.233374 
Fe II     ,         287.23850  ,         287.238500 
          ,                    ,                    
Fe II     ,         287.339737 ,         287.339744 
Fe II     ,         287.5197   ,         287.519902 
Fe I      ,         287.53020  ,         287.530190 
Fe II     ,         287.53474  ,         287.534774 
Fe II     ,         287.65536  ,         287.65541  
          ,                    ,                    
Fe II     ,         287.68036  ,         287.680324 
Fe II     ,         287.7155   ,         287.71503  
Fe I      ,         287.73005  ,         287.730061 
Fe II     ,         287.92455  ,         287.924457 
Fe II     ,         288.0125   ,         288.012337 
          ,                    ,                    
Fe II     ,         288.07563  ,         288.075633 
Fe II     ,         288.08309  ,         288.082973 
Fe II     ,         288.1184   ,         288.118474 
Fe II     ,         288.25056  ,         288.250544 
Fe II     ,         288.2744   ,         288.274799 
          ,                    ,                    
Fe II     ,         288.2860   ,         288.285657 
Fe II     ,         288.37101  ,         288.371030 
Fe I      ,         288.37470  ,         288.374765 
Fe II     ,         288.4026   ,         288.40260  
Fe II     ,         288.41010  ,         288.409967 
          ,                    ,                    
Fe II     ,         288.4185   ,         288.417372 
Fe II     ,         288.42694  ,         288.426884 
Fe II     ,         288.47642  ,         288.476457 
Fe II     ,         288.5031   ,         288.502916 
Fe II     ,         288.5932   ,         288.593241 
          ,                    ,                    
Fe I      ,         288.63158  ,         288.631663 
Fe II     ,         288.69722  ,         288.697264 
Fe II     ,         288.7313   ,         288.731404 
Fe II     ,         288.7648   ,         288.764830 
Fe I      ,         288.78049  ,         288.78048  
          ,                    ,                    
Fe I      ,         288.7958   ,         288.795654 
Fe II     ,         288.80956  ,         288.809485 
Fe II     ,         288.8652   ,         288.865119 
Fe II     ,         288.9162   ,         288.916522 
Fe II     ,         288.93870  ,         288.938376 
          ,                    ,                    
Fe I      ,         289.24774  ,         289.247758 
Fe II     ,         289.3183   ,         289.318135 
Fe I      ,         289.45040  ,         289.450402 
Fe II     ,         289.47771  ,         289.477812 
Fe I      ,         289.50346  ,         289.503472 
          ,                    ,                    
Fe II     ,         289.5098   ,         289.508731 
Fe II     ,         289.52192  ,         289.521926 
Fe II     ,         289.5350   ,         289.535016 
Fe II     ,         289.6471   ,         289.646525 
Fe II     ,         289.72639  ,         289.726470 
          ,                    ,                    
Fe II     ,         289.75872  ,         289.758623 
Fe II     ,         289.79464  ,         289.794717 
Fe II     ,         289.79871  ,         289.798649 
Fe II     ,         289.83246  ,         289.832392 
Fe II     ,         289.8738   ,         289.873548 
          ,                    ,                    
Fe II     ,         289.92549  ,         289.925629 
Fe I      ,         289.94144  ,         289.941447 
Fe II     ,         290.0208   ,         290.020795 
Fe II     ,         290.06555  ,         290.065556 
Fe II     ,         290.1021   ,         290.102771 
          ,                    ,                    
Fe I      ,         290.13805  ,         290.138059 
Fe I      ,         290.19102  ,         290.191002 
Fe II     ,         290.22065  ,         290.220623 
Fe II     ,         290.2468   ,         290.246291 
Fe I      ,         290.40844  ,         290.408629 
          ,                    ,                    
Fe II     ,         290.4557   ,         290.455620 
Fe II     ,         290.4845   ,         290.484350 
Fe II     ,         290.5505   ,         290.549951 
Fe II     ,         290.57438  ,         290.574367 
Fe II     ,         290.6122   ,         290.612387 
          ,                    ,                    
Fe I      ,         290.75172  ,         290.751736 
Fe II     ,         290.8375   ,         290.837104 
Fe I      ,         290.88558  ,         290.885580 
Fe II     ,         291.06861  ,         291.068574 
Fe II     ,         291.0762   ,         291.076106 
          ,                    ,                    
Fe I      ,         291.0928   ,         291.092577 
Fe II     ,         291.1014   ,         291.101605 
Fe II     ,         291.15538  ,         291.155460 
Fe II     ,         291.17977  ,         291.179562 
Fe I      ,         291.21571  ,         291.215723 
          ,                    ,                    
Fe I      ,         291.22565  ,         291.225641 
Fe I      ,         291.43032  ,         291.430336 
Fe II     ,         291.6214   ,         291.622465 
Fe II     ,         291.7084   ,         291.708507 
Fe II     ,         291.78334  ,         291.783366 
          ,                    ,                    
Fe I      ,         291.80246  ,         291.80246  
Fe II     ,         291.85285  ,         291.852878 
Fe I      ,         291.98403  ,         291.984079 
Fe II     ,         292.01849  ,         292.018401 
Fe I      ,         292.06904  ,         292.069081 
          ,                    ,                    
Fe II     ,         292.2025   ,         292.202269 
Fe I      ,         292.32854  ,         292.32855  
