Spectrum  , Observed Wavelength Air (nm)    ,       Ritz Wavelength Air (nm)  
Al III    ,        572.2728  ,        572.273   
Al XII    ,                  ,        574.6     
Al XII    ,                  ,        576.1     
          ,                  ,                  
Al II     ,        585.362   ,        585.376   
Al II     ,        586.153   ,        586.177   
Al II     ,                  ,        586.162   
Al II     ,                  ,        586.779   
Al II     ,        586.781   ,        586.790   
          ,                  ,                  
Al II     ,        597.1980  ,        597.197   
Al II     ,        599.975   ,        599.987   
Al II     ,        600.176   ,        600.187   
Al II     ,        600.188   ,        600.192   
Al II     ,        600.6410  ,        600.641
