wavelengths,intensities
247.76552,746.0
247.8419916626033,733.0
247.9184570784132,740.0
247.9949162474297,727.0
248.0713691696528,727.0
248.1478158450825,722.0
248.22425627371882,729.0
248.30069045556172,738.0
248.3771183906112,732.0
248.4535400788673,737.0
248.52995552033002,729.0
248.6063647149993,733.0
248.68276766287522,737.0
248.7591643639577,753.0
248.8355548182468,747.0
248.9119390257425,758.0
248.9883169864448,765.0
249.0646887003537,771.0
249.1410541674692,775.0
249.2174133877913,780.0
249.29376636132,781.0
249.37011308805532,782.0
249.44645356799722,789.0
249.5227878011457,791.0
249.5991157875008,806.0
249.6754375270625,858.0
249.7517530198308,845.0
249.82806226580573,818.0
249.9043652649872,853.0
249.9806620173753,854.0
250.05695252297002,846.0
250.1332367817713,855.0
250.20951479377922,863.0
250.2857865589937,867.0
250.3620520774148,867.0
250.43831134904252,887.0
250.51456437387682,942.0
250.59081115191773,935.0
250.6670516831652,900.0
250.7432859676193,884.0
250.81951400528,887.0
250.8957357961473,891.0
250.9719513402212,889.0
251.0481606375017,888.0
251.1243636879888,895.0
251.2005604916825,919.0
251.2767510485828,969.0
251.35293535868973,978.0
251.42911342200318,1000.0
251.5052852385233,1048.0
251.58145080825,957.0
251.6576101311833,942.0
251.73376320732322,968.0
251.8099100366697,939.0
251.8860506192228,918.0
251.96218495498252,895.0
252.03831304394882,894.0
252.11443488612173,902.0
252.1905504815012,912.0
252.2666598300873,943.0
252.34276293188,958.0
252.41885978687932,923.0
252.49495039508523,911.0
252.5710347564977,913.0
252.6471128711168,924.0
252.7231847389425,972.0
252.79925035997482,937.0
252.87530973421372,913.0
252.9513628616592,886.0
253.0274097423113,893.0
253.10345037617,898.0
253.1794847632353,893.0
253.25551290350722,921.0
253.3315347969857,887.0
253.4075504436708,879.0
253.48355984356252,889.0
253.55956299666082,894.0
253.63555990296572,895.0
253.71155056247719,900.0
253.7875349751953,896.0
253.86351314112,870.0
253.93948506025131,908.0
254.01545073258922,898.0
254.0914101581337,888.0
254.1673633368848,868.0
254.24331026884252,874.0
254.3192509540068,894.0
254.39518539237773,866.0
254.4711135839552,883.0
254.54703552873931,866.0
254.62295122673,858.0
254.6988606779273,865.0
254.77476388233123,881.0
254.8506608399417,881.0
254.9265515507588,891.0
255.00243601478252,873.0
255.07831423201281,857.0
255.15418620244972,867.0
255.2300519260932,871.0
255.3059114029433,843.0
255.38176463300002,866.0
255.4576116162633,849.0
255.5334523527332,850.0
255.6092868424097,858.0
255.6851150852928,856.0
255.7609370813825,848.0
255.83675283067882,856.0
255.9125623331817,877.0
255.9883655888912,873.0
256.06416259780735,905.0
256.13995335993,919.0
256.21573787525926,929.0
256.2915161437952,869.0
256.3672881655377,870.0
256.4430539404868,857.0
256.5188134686425,863.0
256.5945667500048,870.0
256.6703137845737,878.0
256.74605457234924,878.0
256.8217891133313,869.0
256.89751740752,870.0
256.9732394549153,886.0
257.04895525551717,875.0
257.1246648093257,861.0
257.2003681163408,875.0
257.2760651765625,889.0
257.3517559899908,894.0
257.4274405566257,920.0
257.5031188764672,923.0
257.57879094951534,883.0
257.65445677577003,900.0
257.7301163552313,870.0
257.8057696878992,861.0
257.8814167737737,853.0
257.9570576128548,858.0
258.0326922051425,882.0
258.1083205506368,896.0
258.1839426493377,873.0
258.25955850124524,861.0
258.33516810635933,883.0
258.41077146468,920.0
258.48636857620727,950.0
258.56195944094117,887.0
258.6375440588817,886.0
258.7131224300288,869.0
258.7886945543825,890.0
258.8642604319428,855.0
258.9398200627097,879.0
259.0153734466832,898.0
259.09092058386335,889.0
259.16646147425,900.0
259.2419961178433,900.0
259.3175245146432,873.0
259.3930466646497,849.0
259.4685625678628,886.0
259.5440722242825,875.0
259.6195756339088,921.0
259.6950727967417,1006.0
259.7705637127812,1064.0
259.84604838202733,1041.0
259.92152680448004,925.0
259.99699898013927,883.0
260.0724649090052,870.0
260.1479245910777,878.0
260.2233780263568,869.0
260.2988252148425,882.0
260.3742661565348,892.0
260.4497008514337,894.0
260.52512929953923,934.0
260.60055150085134,963.0
260.67596745537,892.0
260.7513771630953,889.0
260.8267806240272,888.0
260.9021778381657,891.0
260.9775688055108,926.0
261.0529535260625,985.0
261.12833199982083,950.0
261.2037042267857,922.0
261.2790702069572,944.0
261.3544299403353,892.0
261.42978342692004,864.0
261.5051306667113,875.0
261.5804716597092,885.0
261.6558064059137,906.0
261.7311349053248,882.0
261.80645715794253,886.0
261.8817731637668,892.0
261.9570829227977,886.0
262.0323864350352,889.0
262.10768370047936,879.0
262.18297471913,877.0
262.2582594909873,887.0
262.3335380160512,879.0
262.4088102943217,948.0
262.4840763257988,915.0
262.5593361104825,899.0
262.6345896483728,911.0
262.7098369394697,946.0
262.78507798377325,913.0
262.8603127812833,941.0
262.935541332,1005.0
263.0107636359233,1063.0
263.0859796930532,951.0
263.1611895033897,895.0
263.2363930669328,880.0
263.3115903836825,876.0
263.38678145363883,884.0
263.4619662768017,876.0
263.53714485317124,884.0
263.61231718274735,893.0
263.68748326553,887.0
263.7626431015193,889.0
263.8377966907152,869.0
