,wavelengths,intensities
0,247.76552,746.0
1,247.8419916626033,733.0
2,247.9184570784132,740.0
3,247.9949162474297,727.0
4,248.0713691696528,727.0
5,248.1478158450825,722.0
6,248.22425627371882,729.0
7,248.30069045556172,738.0
8,248.3771183906112,732.0
9,248.4535400788673,737.0
10,248.52995552033002,729.0
11,248.6063647149993,733.0
12,248.68276766287522,737.0
13,248.7591643639577,753.0
14,248.8355548182468,747.0
15,248.9119390257425,758.0
16,248.9883169864448,765.0
17,249.0646887003537,771.0
18,249.1410541674692,775.0
19,249.2174133877913,780.0
20,249.29376636132,781.0
21,249.37011308805532,782.0
22,249.44645356799722,789.0
23,249.5227878011457,791.0
24,249.5991157875008,806.0
25,249.6754375270625,858.0
26,249.7517530198308,845.0
27,249.82806226580573,818.0
28,249.9043652649872,853.0
29,249.9806620173753,854.0
30,250.05695252297002,846.0
31,250.1332367817713,855.0
32,250.20951479377922,863.0
33,250.2857865589937,867.0
34,250.3620520774148,867.0
35,250.43831134904252,887.0
36,250.51456437387682,942.0
37,250.59081115191773,935.0
38,250.6670516831652,900.0
39,250.7432859676193,884.0
40,250.81951400528,887.0
41,250.8957357961473,891.0
42,250.9719513402212,889.0
43,251.0481606375017,888.0
44,251.1243636879888,895.0
45,251.2005604916825,919.0
46,251.2767510485828,969.0
47,251.35293535868973,978.0
48,251.42911342200318,1000.0
49,251.5052852385233,1048.0
50,251.58145080825,957.0
51,251.6576101311833,942.0
52,251.73376320732322,968.0
53,251.8099100366697,939.0
54,251.8860506192228,918.0
55,251.96218495498252,895.0
56,252.03831304394882,894.0
57,252.11443488612173,902.0
58,252.1905504815012,912.0
59,252.2666598300873,943.0
60,252.34276293188,958.0
61,252.41885978687932,923.0
62,252.49495039508523,911.0
63,252.5710347564977,913.0
64,252.6471128711168,924.0
65,252.7231847389425,972.0
66,252.79925035997482,937.0
67,252.87530973421372,913.0
68,252.9513628616592,886.0
69,253.0274097423113,893.0
70,253.10345037617,898.0
71,253.1794847632353,893.0
72,253.25551290350722,921.0
73,253.3315347969857,887.0
74,253.4075504436708,879.0
75,253.48355984356252,889.0
76,253.55956299666082,894.0
77,253.63555990296572,895.0
78,253.71155056247719,900.0
79,253.7875349751953,896.0
80,253.86351314112,870.0
81,253.93948506025131,908.0
82,254.01545073258922,898.0
83,254.0914101581337,888.0
84,254.1673633368848,868.0
85,254.24331026884252,874.0
86,254.3192509540068,894.0
87,254.39518539237773,866.0
88,254.4711135839552,883.0
89,254.54703552873931,866.0
90,254.62295122673,858.0
91,254.6988606779273,865.0
92,254.77476388233123,881.0
93,254.8506608399417,881.0
94,254.9265515507588,891.0
95,255.00243601478252,873.0
96,255.07831423201281,857.0
97,255.15418620244972,867.0
98,255.2300519260932,871.0
99,255.3059114029433,843.0
100,255.38176463300002,866.0
101,255.4576116162633,849.0
102,255.5334523527332,850.0
103,255.6092868424097,858.0
104,255.6851150852928,856.0
105,255.7609370813825,848.0
106,255.83675283067882,856.0
107,255.9125623331817,877.0
108,255.9883655888912,873.0
109,256.06416259780735,905.0
110,256.13995335993,919.0
111,256.21573787525926,929.0
112,256.2915161437952,869.0
113,256.3672881655377,870.0
114,256.4430539404868,857.0
115,256.5188134686425,863.0
116,256.5945667500048,870.0
117,256.6703137845737,878.0
118,256.74605457234924,878.0
119,256.8217891133313,869.0
120,256.89751740752,870.0
121,256.9732394549153,886.0
122,257.04895525551717,875.0
123,257.1246648093257,861.0
124,257.2003681163408,875.0
125,257.2760651765625,889.0
126,257.3517559899908,894.0
127,257.4274405566257,920.0
128,257.5031188764672,923.0
129,257.57879094951534,883.0
130,257.65445677577003,900.0
131,257.7301163552313,870.0
132,257.8057696878992,861.0
133,257.8814167737737,853.0
134,257.9570576128548,858.0
135,258.0326922051425,882.0
136,258.1083205506368,896.0
137,258.1839426493377,873.0
138,258.25955850124524,861.0
139,258.33516810635933,883.0
140,258.41077146468,920.0
141,258.48636857620727,950.0
142,258.56195944094117,887.0
143,258.6375440588817,886.0
144,258.7131224300288,869.0
145,258.7886945543825,890.0
146,258.8642604319428,855.0
147,258.9398200627097,879.0
148,259.0153734466832,898.0
149,259.09092058386335,889.0
150,259.16646147425,900.0
151,259.2419961178433,900.0
152,259.3175245146432,873.0
153,259.3930466646497,849.0
154,259.4685625678628,886.0
155,259.5440722242825,875.0
156,259.6195756339088,921.0
157,259.6950727967417,1006.0
158,259.7705637127812,1064.0
